python3-lockfile	1:0.12.2-2ubuntu2
python3-louis	3.12.0-3ubuntu0.2
python3-macaroonbakery	1.3.1-1
python3-mako	1.1.0+ds1-1ubuntu2.1
python3-markupsafe	1.1.0-1build2
python3-minimal	3.8.2-0ubuntu2
python3-monotonic	1.5-0ubuntu2
python3-nacl	1.3.0-5
python3-netifaces	0.10.4-1ubuntu4
python3-oauthlib	3.1.0-1ubuntu2
python3-olefile	0.46-2
python3-paramiko	2.6.0-2ubuntu0.3
python3-pexpect	4.6.0-1build1
python3-pil:amd64	7.0.0-4ubuntu0.9
python3-pkg-resources	45.2.0-1ubuntu0.3
python3-problem-report	2.20.11-0ubuntu27.31
python3-protobuf	3.6.1.3-2ubuntu5.2
python3-ptyprocess	0.6.0-1ubuntu1
python3-pyatspi	2.36.0-1
python3-pymacaroons	0.13.0-3
python3-renderpm:amd64	3.5.34-1ubuntu1.1
python3-reportlab	3.5.34-1ubuntu1.1
python3-reportlab-accel:amd64	3.5.34-1ubuntu1.1
python3-requests	2.22.0-2ubuntu1.1
python3-requests-unixsocket	0.2.0-2
python3-rfc3339	1.1-2
python3-secretstorage	2.3.1-2ubuntu1
python3-simplejson	3.16.0-2ubuntu2
python3-six	1.14.0-2
python3-software-properties	0.98.9.2
python3-speechd	0.9.1-4
python3-systemd	234-3build2
python3-talloc:amd64	2.3.3-0ubuntu0.20.04.1
python3-tz	2019.3-1
python3-uno	1:6.4.7-0ubuntu0.20.04.15
python3-update-manager	1:20.04.10.1
python3-urllib3	1.25.8-2ubuntu0.4
python3-wadllib	1.3.3-3build1
python3-xdg	0.26-1ubuntu1
python3-xkit	0.5.0ubuntu4
python3-yaml	5.3.1-1ubuntu0.1
python-apt-common	2.0.0ubuntu0.20.04.3
